Device,Temperature (C),Humidity,Timestamp
SHTC3,23.430,75.130,2022-06-16 18:07:03.514870+00:00
SHTC3,23.460,75.160,2022-06-16 18:07:04.029337+00:00
SHTC3,23.400,75.140,2022-06-16 18:07:04.540586+00:00
SHTC3,23.470,75.130,2022-06-16 18:07:05.051385+00:00
SHTC3,23.440,75.140,2022-06-16 18:07:05.564697+00:00
SHTC3,23.440,75.130,2022-06-16 18:07:06.066859+00:00
SHTC3,23.430,75.140,2022-06-16 18:07:06.581479+00:00
SHTC3,23.440,75.130,2022-06-16 18:07:07.085483+00:00
SHTC3,23.440,75.130,2022-06-16 18:07:07.597240+00:00
SHTC3,23.450,75.120,2022-06-16 18:07:08.097841+00:00
SHTC3,23.430,75.130,2022-06-16 18:07:08.612373+00:00
SHTC3,23.430,75.120,2022-06-16 18:07:09.124969+00:00
SHTC3,23.420,75.140,2022-06-16 18:07:09.640337+00:00
SHTC3,23.420,75.140,2022-06-16 18:07:10.153322+00:00
SHTC3,23.410,75.120,2022-06-16 18:07:10.667968+00:00
SHTC3,23.430,75.110,2022-06-16 18:07:11.177369+00:00
SHTC3,23.450,75.110,2022-06-16 18:07:11.689029+00:00
SHTC3,23.400,75.110,2022-06-16 18:07:12.199133+00:00
SHTC3,23.420,75.120,2022-06-16 18:07:12.710175+00:00
SHTC3,23.430,75.130,2022-06-16 18:07:13.221174+00:00
SHTC3,23.400,75.090,2022-06-16 18:07:13.733936+00:00
SHTC3,23.410,75.110,2022-06-16 18:07:14.241102+00:00
SHTC3,23.400,75.130,2022-06-16 18:07:14.754975+00:00
SHTC3,23.440,75.090,2022-06-16 18:07:15.262421+00:00
SHTC3,23.430,75.110,2022-06-16 18:07:15.778990+00:00
SHTC3,23.420,75.120,2022-06-16 18:07:16.290476+00:00
SHTC3,23.410,75.120,2022-06-16 18:07:16.805193+00:00
SHTC3,23.420,75.110,2022-06-16 18:07:17.315499+00:00
SHTC3,23.410,75.100,2022-06-16 18:07:17.824971+00:00
SHTC3,23.430,75.120,2022-06-16 18:07:18.336138+00:00
SHTC3,23.410,75.110,2022-06-16 18:07:18.846974+00:00
